Gene,logFC,p-value,Group
SYCE1L,-1.9099071,0.00000e+00,F6: Inflammatory myofibroblast
SCX,-2.2687857,0.00000e+00,F6: Inflammatory myofibroblast
AHNAK2,-1.6845924,0.00000e+00,F6: Inflammatory myofibroblast
THBS4,-1.953951,0.00000e+00,F6: Inflammatory myofibroblast
SPARCL1,-1.419054,0.00000e+00,F6: Inflammatory myofibroblast
CLU,-1.4708079,0.00000e+00,F6: Inflammatory myofibroblast
TSPAN2,-2.5589824,0.00000e+00,F6: Inflammatory myofibroblast
GSN,-1.0989047,0.00000e+00,F6: Inflammatory myofibroblast
ITGA10,-2.30356,0.00000e+00,F6: Inflammatory myofibroblast
ELN,-1.5117,0.00000e+00,F6: Inflammatory myofibroblast
RNASE4,-1.3461301,0.00000e+00,F6: Inflammatory myofibroblast
LSP1,-1.5066303,0.00000e+00,F6: Inflammatory myofibroblast
VWC2,-2.9849474,0.00000e+00,F6: Inflammatory myofibroblast
CCN3,-2.2842646,0.00000e+00,F6: Inflammatory myofibroblast
PAMR1,-2.292658,0.00000e+00,F6: Inflammatory myofibroblast
CRISPLD1,-2.0030603,0.00000e+00,F6: Inflammatory myofibroblast
PDGFRL,-1.2457645,0.00000e+00,F6: Inflammatory myofibroblast
FBLN1,-1.0256071,0.00000e+00,F6: Inflammatory myofibroblast
EVI2A,-1.9544375,0.00000e+00,F6: Inflammatory myofibroblast
MATN2,-1.9889964,0.00000e+00,F6: Inflammatory myofibroblast
LEPR,-1.726213,0.00000e+00,F6: Inflammatory myofibroblast
FAM107A,-2.2083,0.00000e+00,F6: Inflammatory myofibroblast
MTSS1,-1.8548923,0.00000e+00,F6: Inflammatory myofibroblast
SGCA,-2.3534765,0.00000e+00,F6: Inflammatory myofibroblast
ATP1B1,-1.7699813,0.00000e+00,F6: Inflammatory myofibroblast
PLAC9,-1.1816409,0.00000e+00,F6: Inflammatory myofibroblast
AC010982.2,-5.1114593,0.00000e+00,F6: Inflammatory myofibroblast
PART1,-3.5609088,0.00000e+00,F6: Inflammatory myofibroblast
ACAN,-3.444806,0.00000e+00,F6: Inflammatory myofibroblast
NCAM1,-3.691605,0.00000e+00,F6: Inflammatory myofibroblast
CFD,-2.3067305,0.00000e+00,F6: Inflammatory myofibroblast
CXCL14,-2.415377,0.00000e+00,F6: Inflammatory myofibroblast
FABP5,-2.1288478,0.00000e+00,F6: Inflammatory myofibroblast
CADM1,-2.1264389,0.00000e+00,F6: Inflammatory myofibroblast
LRRC17,-2.2871387,0.00000e+00,F6: Inflammatory myofibroblast
DPT,-1.6672106,0.00000e+00,F6: Inflammatory myofibroblast
CD70,-3.3106968,0.00000e+00,F6: Inflammatory myofibroblast
TUBB2B,-2.3726113,0.00000e+00,F6: Inflammatory myofibroblast
COMP,-2.178724,0.00000e+00,F6: Inflammatory myofibroblast
TPPP3,-2.100761,0.00000e+00,F6: Inflammatory myofibroblast
PTGIS,-2.6173627,0.00000e+00,F6: Inflammatory myofibroblast
CAMK1D,-1.7411307,0.00000e+00,F6: Inflammatory myofibroblast
TNXB,-2.1596725,0.00000e+00,F6: Inflammatory myofibroblast
SFRP4,-2.1627295,0.00000e+00,F6: Inflammatory myofibroblast
S100A10,-1.2885648,0.00000e+00,F6: Inflammatory myofibroblast
GREM2,-2.602057,0.00000e+00,F6: Inflammatory myofibroblast
CCDC80,-1.1582825,0.00000e+00,F6: Inflammatory myofibroblast
ITIH5,-2.076255,0.00000e+00,F6: Inflammatory myofibroblast
SELENOP,-1.5845971,0.00000e+00,F6: Inflammatory myofibroblast
ASPN,-1.7093445,0.00000e+00,F6: Inflammatory myofibroblast
WIF1,-4.6780214,0.00000e+00,F6: Inflammatory myofibroblast
ENHO,-3.3685894,0.00000e+00,F6: Inflammatory myofibroblast
DHRS2,-5.1087513,0.00000e+00,F6: Inflammatory myofibroblast
MGP,-1.8372674,0.00000e+00,F6: Inflammatory myofibroblast
ADIRF,-1.637187,0.00000e+00,F6: Inflammatory myofibroblast
PLA2G2A,-2.9622874,0.00000e+00,F6: Inflammatory myofibroblast
COL14A1,-1.6641159,0.00000e+00,F6: Inflammatory myofibroblast
CD9,-1.5305676,0.00000e+00,F6: Inflammatory myofibroblast
KCNMA1,-2.4399657,0.00000e+00,F6: Inflammatory myofibroblast
NIBAN1,-2.0695443,0.00000e+00,F6: Inflammatory myofibroblast
ADH1B,-5.2338433,0.00000e+00,F6: Inflammatory myofibroblast
C1QTNF3,-3.6131036,0.00000e+00,F6: Inflammatory myofibroblast
PMEPA1,1.1549543,0.00000e+00,F6: Inflammatory myofibroblast
SOX5,3.1383862,0.00000e+00,F6: Inflammatory myofibroblast
CPE,1.5815095,0.00000e+00,F6: Inflammatory myofibroblast
FRMD4A,2.1087987,0.00000e+00,F6: Inflammatory myofibroblast
MAP3K5,2.6026967,0.00000e+00,F6: Inflammatory myofibroblast
PRRX1,0.827302,0.00000e+00,F6: Inflammatory myofibroblast
CHN1,1.9016978,0.00000e+00,F6: Inflammatory myofibroblast
TSPAN9,1.6981586,0.00000e+00,F6: Inflammatory myofibroblast
EPAS1,1.5031518,0.00000e+00,F6: Inflammatory myofibroblast
MMP1,4.55709,0.00000e+00,F6: Inflammatory myofibroblast
TENM4,2.393796,0.00000e+00,F6: Inflammatory myofibroblast
SPHK1,1.5553426,0.00000e+00,F6: Inflammatory myofibroblast
COL27A1,1.5554938,0.00000e+00,F6: Inflammatory myofibroblast
EPSTI1,2.0466168,0.00000e+00,F6: Inflammatory myofibroblast
STARD13,1.6697224,0.00000e+00,F6: Inflammatory myofibroblast
SULF1,1.8295788,0.00000e+00,F6: Inflammatory myofibroblast
GUCY1A1,1.5084609,0.00000e+00,F6: Inflammatory myofibroblast
DPYD,1.386184,0.00000e+00,F6: Inflammatory myofibroblast
TSPAN5,1.5756277,0.00000e+00,F6: Inflammatory myofibroblast
SEMA5A,1.7676203,0.00000e+00,F6: Inflammatory myofibroblast
KIF26B,1.9877422,0.00000e+00,F6: Inflammatory myofibroblast
PRSS23,1.8807056,0.00000e+00,F6: Inflammatory myofibroblast
TIMP1,1.1588503,0.00000e+00,F6: Inflammatory myofibroblast
HES4,1.8838204,0.00000e+00,F6: Inflammatory myofibroblast
COL4A1,1.9616207,0.00000e+00,F6: Inflammatory myofibroblast
PRKG1,1.7724618,0.00000e+00,F6: Inflammatory myofibroblast
COL4A2,1.688526,0.00000e+00,F6: Inflammatory myofibroblast
SAT1,1.8636863,0.00000e+00,F6: Inflammatory myofibroblast
HLA-B,1.3460884,0.00000e+00,F6: Inflammatory myofibroblast
SGIP1,2.388894,0.00000e+00,F6: Inflammatory myofibroblast
GPM6B,2.9743686,0.00000e+00,F6: Inflammatory myofibroblast
COL1A1,2.2306933,0.00000e+00,F6: Myofibroblast
VDAC2,-0.77701426,0.00000e+00,F6: Myofibroblast
STX11,-2.6108212,0.00000e+00,F6: Myofibroblast
TGFBI,-0.83351,0.00000e+00,F6: Myofibroblast
SERINC1,-0.791722,0.00000e+00,F6: Myofibroblast
RGS22,-2.1324701,0.00000e+00,F6: Myofibroblast
IRF2BPL,-1.1580704,0.00000e+00,F6: Myofibroblast
CAMLG,-0.80755633,0.00000e+00,F6: Myofibroblast
CACNA2D3,-1.6186963,0.00000e+00,F6: Myofibroblast
RAB20,-2.5299633,0.00000e+00,F6: Myofibroblast
SLC6A6,-1.1997663,0.00000e+00,F6: Myofibroblast
DRAXIN,-2.7854729,0.00000e+00,F6: Myofibroblast
SELENBP1,-1.4693996,0.00000e+00,F6: Myofibroblast
TRIP10,-1.1191523,0.00000e+00,F6: Myofibroblast
SF3B2,-0.804271,0.00000e+00,F6: Myofibroblast
RSRC2,-0.7756097,0.00000e+00,F6: Myofibroblast
TIFA,-1.7410493,0.00000e+00,F6: Myofibroblast
PCNP,-0.84931445,0.00000e+00,F6: Myofibroblast
PGF,-1.7608762,0.00000e+00,F6: Myofibroblast
TECR,-0.94707423,0.00000e+00,F6: Myofibroblast
CLK1,-0.9116418,0.00000e+00,F6: Myofibroblast
GPNMB,-0.70033455,0.00000e+00,F6: Myofibroblast
S100A4,-0.6095351,0.00000e+00,F6: Myofibroblast
MAP1LC3A,-0.9593811,0.00000e+00,F6: Myofibroblast
PPDPFL,-5.092873,0.00000e+00,F6: Myofibroblast
TAF1D,-0.8466889,0.00000e+00,F6: Myofibroblast
C1orf43,-0.91995287,0.00000e+00,F6: Myofibroblast
OAZ2,-1.0244554,0.00000e+00,F6: Myofibroblast
ZBED1,-4.2635884,0.00000e+00,F6: Myofibroblast
DPP7,-0.8937092,0.00000e+00,F6: Myofibroblast
PLEKHH2,-0.96601343,0.00000e+00,F6: Myofibroblast
IMP3,-1.0574712,0.00000e+00,F6: Myofibroblast
CSRNP1,-1.0407579,0.00000e+00,F6: Myofibroblast
SYCE1L,-1.2418623,0.00000e+00,F6: Myofibroblast
CHMP4B,-0.8646259,0.00000e+00,F6: Myofibroblast
RBM25,-0.78193957,0.00000e+00,F6: Myofibroblast
DDX24,-0.78363794,0.00000e+00,F6: Myofibroblast
RPLP2,-0.4984341,0.00000e+00,F6: Myofibroblast
OPTN,-0.8276695,0.00000e+00,F6: Myofibroblast
VCAM1,-1.0652968,0.00000e+00,F6: Myofibroblast
MATR3-1,-4.104416,0.00000e+00,F6: Myofibroblast
TTR,-2.9114878,0.00000e+00,F6: Myofibroblast
SAMD5,-2.0431085,0.00000e+00,F6: Myofibroblast
IL16,-1.4506497,0.00000e+00,F6: Myofibroblast
NASP,-0.94746095,0.00000e+00,F6: Myofibroblast
SLC5A3,-2.7899477,0.00000e+00,F6: Myofibroblast
APOC1,-1.9288974,0.00000e+00,F6: Myofibroblast
NDUFB9,-0.8020084,0.00000e+00,F6: Myofibroblast
VSIR,-1.4269291,0.00000e+00,F6: Myofibroblast
SLN,-3.700198,0.00000e+00,F6: Myofibroblast
CLIC2,-1.4166349,0.00000e+00,F6: Myofibroblast
MEG3,-0.7111567,0.00000e+00,F6: Myofibroblast
SLC1A3,-1.2004678,0.00000e+00,F6: Myofibroblast
POLR2E,-0.86896914,0.00000e+00,F6: Myofibroblast
RGN,-2.150776,0.00000e+00,F6: Myofibroblast
OSER1,-1.1942079,0.00000e+00,F6: Myofibroblast
RPS23,-0.5189443,0.00000e+00,F6: Myofibroblast
MTRNR2L8,-1.0601493,0.00000e+00,F6: Myofibroblast
ATP2B1,-0.9487058,0.00000e+00,F6: Myofibroblast
IL24,-4.1739006,0.00000e+00,F6: Myofibroblast
VAPA,-0.68510807,0.00000e+00,F6: Myofibroblast
S1PR2,-4.969785,0.00000e+00,F6: Myofibroblast
PIM1,-0.9795824,0.00000e+00,F6: Myofibroblast
TPI1,-0.62637,0.00000e+00,F6: Myofibroblast
AL078604.2,-6.239389,0.00000e+00,F6: Myofibroblast
OXA1L,-1.0266637,0.00000e+00,F6: Myofibroblast
YPEL5,-0.8488978,0.00000e+00,F6: Myofibroblast
SPEN,-0.93125635,0.00000e+00,F6: Myofibroblast
AHR,-0.7422545,0.00000e+00,F6: Myofibroblast
EIF4B,-0.82560414,0.00000e+00,F6: Myofibroblast
PDGFRB,-0.7001442,0.00000e+00,F6: Myofibroblast
CYSTM1,-0.7538262,0.00000e+00,F6: Myofibroblast
MRFAP1,-0.70313746,0.00000e+00,F6: Myofibroblast
MT1G,-3.3891892,0.00000e+00,F6: Myofibroblast
TNFRSF1A,-0.77982587,0.00000e+00,F6: Myofibroblast
H2AFJ,-0.73885745,0.00000e+00,F6: Myofibroblast
TIA1,-3.5845098,0.00000e+00,F6: Myofibroblast
TOP1,-0.7692654,0.00000e+00,F6: Myofibroblast
CYBRD1,-0.7395413,0.00000e+00,F6: Myofibroblast
ERRFI1,-1.1220706,0.00000e+00,F6: Myofibroblast
MUC12,-1.5651641,0.00000e+00,F6: Myofibroblast
HSD17B11,-1.1560851,0.00000e+00,F6: Myofibroblast
DYNLRB1,-0.906973,0.00000e+00,F6: Myofibroblast
CFAP69,-1.2947803,0.00000e+00,F6: Myofibroblast
TBRG1,-0.9183782,0.00000e+00,F6: Myofibroblast
APOL6,-1.3023274,0.00000e+00,F6: Myofibroblast
SAP18,-0.64037704,0.00000e+00,F6: Myofibroblast
LTBP4,-0.9254003,0.00000e+00,F6: Myofibroblast
HDAC9,-1.3453163,0.00000e+00,F6: Myofibroblast
KLF11,-1.5343133,0.00000e+00,F6: Myofibroblast
HNRNPU,-0.7250772,0.00000e+00,F6: Myofibroblast
TIPARP,-1.0668087,0.00000e+00,F6: Myofibroblast
TBX18,-1.3735336,0.00000e+00,F6: Myofibroblast
AL133330.1,-6.440707,0.00000e+00,F6: Myofibroblast
ACHE,-3.4827793,0.00000e+00,F6: Myofibroblast
UQCRB,-0.62728596,0.00000e+00,F6: Myofibroblast
SNRPA,-1.1985182,0.00000e+00,F6: Myofibroblast
RASGEF1B,-1.5388151,0.00000e+00,F6: Myofibroblast
VASN,-0.8211696,0.00000e+00,F6: Myofibroblast
ARID4B,-0.76143426,0.00000e+00,F6: Myofibroblast
POSTN,3.7974658,0.00000e+00,F7: Fascia-like myofibroblast
VASN,-0.7364811,0.00000e+00,F7: Fascia-like myofibroblast
CEP112,-1.0394264,0.00000e+00,F7: Fascia-like myofibroblast
TNR,-3.4820602,0.00000e+00,F7: Fascia-like myofibroblast
EGFLAM,-1.8474216,0.00000e+00,F7: Fascia-like myofibroblast
NOTCH3,-1.4803019,0.00000e+00,F7: Fascia-like myofibroblast
KCND2,-2.4560845,0.00000e+00,F7: Fascia-like myofibroblast
C22orf39,-2.6923327,0.00000e+00,F7: Fascia-like myofibroblast
WDR45,-0.99546874,0.00000e+00,F7: Fascia-like myofibroblast
DUSP15,-2.920539,0.00000e+00,F7: Fascia-like myofibroblast
CSMD1,-2.1478171,0.00000e+00,F7: Fascia-like myofibroblast
PNRC2,-0.78863657,0.00000e+00,F7: Fascia-like myofibroblast
SLIT2,-0.90470874,0.00000e+00,F7: Fascia-like myofibroblast
PIN4,-1.0593941,0.00000e+00,F7: Fascia-like myofibroblast
PPDPFL,-7.314891,0.00000e+00,F7: Fascia-like myofibroblast
STX17,-1.4178747,0.00000e+00,F7: Fascia-like myofibroblast
YIPF6,-1.3825204,0.00000e+00,F7: Fascia-like myofibroblast
NSA2,-0.7057593,0.00000e+00,F7: Fascia-like myofibroblast
FCMR,-4.79021,0.00000e+00,F7: Fascia-like myofibroblast
FAT4,-1.2145067,0.00000e+00,F7: Fascia-like myofibroblast
UPF3B,-1.2927096,0.00000e+00,F7: Fascia-like myofibroblast
HMGN2,-0.6087821,0.00000e+00,F7: Fascia-like myofibroblast
OAS2,-3.0294192,0.00000e+00,F7: Fascia-like myofibroblast
P4HTM,-1.4568286,0.00000e+00,F7: Fascia-like myofibroblast
SAP30,-1.7911937,0.00000e+00,F7: Fascia-like myofibroblast
BEX3,-0.7904228,0.00000e+00,F7: Fascia-like myofibroblast
GPX4,-0.5087932,0.00000e+00,F7: Fascia-like myofibroblast
NPDC1,-1.52174,0.00000e+00,F7: Fascia-like myofibroblast
MICALL2,-1.4363447,0.00000e+00,F7: Fascia-like myofibroblast
WARS2-AS1,-2.1282938,0.00000e+00,F7: Fascia-like myofibroblast
ARMCX4,-1.9400741,0.00000e+00,F7: Fascia-like myofibroblast
NME3,-0.72765875,0.00000e+00,F7: Fascia-like myofibroblast
SEMA6D,-2.4613755,0.00000e+00,F7: Fascia-like myofibroblast
TMEM37,-2.7962606,0.00000e+00,F7: Fascia-like myofibroblast
SMARCD2,-1.3286113,0.00000e+00,F7: Fascia-like myofibroblast
