Gene,logFC,p-value,Group
SFRP2,1.6288083,0.00000e+00,F1: Superficial
F10,2.342929,0.00000e+00,F1: Superficial
SUMO2,1.9174938,0.00000e+00,F1: Superficial
MT-CO3,1.5663284,0.00000e+00,F1: Superficial
B2M,0.8555882,0.00000e+00,F1: Superficial
ANPEP,2.0618784,0.00000e+00,F1: Superficial
DCN,1.0950426,0.00000e+00,F1: Superficial
RPL22,1.3118671,0.00000e+00,F1: Superficial
DUSP1,1.4597999,0.00000e+00,F1: Superficial
DIO2,2.279153,0.00000e+00,F1: Superficial
RPL36A,1.3157895,0.00000e+00,F1: Superficial
RPL39,1.9049826,0.00000e+00,F1: Superficial
HLA-E,1.3261088,0.00000e+00,F1: Superficial
SOD2,1.6695116,0.00000e+00,F1: Superficial
TSC22D3,1.829453,0.00000e+00,F1: Superficial
COL6A5,3.0317192,0.00000e+00,F1: Superficial
LEPR,3.4580116,0.00000e+00,F1: Superficial
APOD,1.8082026,0.00000e+00,F1: Superficial
TCF4,1.2341632,0.00000e+00,F1: Superficial
CAV1,1.2904688,0.00000e+00,F1: Superficial
THBS1,1.9968832,0.00000e+00,F1: Superficial
ZBTB20,1.3332394,0.00000e+00,F1: Superficial
H3F3A,2.026882,0.00000e+00,F1: Superficial
ADIRF,1.3240945,0.00000e+00,F1: Superficial
MT-CO1,1.2128273,0.00000e+00,F1: Superficial
COL4A1,1.7746089,0.00000e+00,F1: Superficial
TWIST1,1.482495,0.00000e+00,F1: Superficial
IL6ST,1.3975673,0.00000e+00,F1: Superficial
IFI27,1.948659,0.00000e+00,F1: Superficial
PIK3R1,1.5800555,0.00000e+00,F1: Superficial
AHNAK,1.1413997,0.00000e+00,F1: Superficial
MTRNR2L12,2.0197144,0.00000e+00,F1: Superficial
PRRX2,1.5612884,0.00000e+00,F1: Superficial
MT-ND4L,1.5725341,0.00000e+00,F1: Superficial
C1orf198,1.7224232,0.00000e+00,F1: Superficial
LAMC3,3.0713944,0.00000e+00,F1: Superficial
TNXB,1.9601775,0.00000e+00,F1: Superficial
ARRDC3,1.7272041,0.00000e+00,F1: Superficial
STC2,3.7835076,0.00000e+00,F1: Superficial
NCKAP5,2.7417917,0.00000e+00,F1: Superficial
DUSP4,3.0852478,0.00000e+00,F1: Superficial
CHCHD10,1.6343426,0.00000e+00,F1: Superficial
RPS28,0.86764973,0.00000e+00,F1: Superficial
LY6E,1.2250836,0.00000e+00,F1: Superficial
PID1,1.8453714,0.00000e+00,F1: Superficial
RASD1,1.9641663,0.00000e+00,F1: Superficial
HSPA1A,1.4989344,0.00000e+00,F1: Superficial
PTGS2,2.5647535,0.00000e+00,F1: Superficial
IFITM3,0.9554633,0.00000e+00,F1: Superficial
PDGFRA,1.3376889,0.00000e+00,F1: Superficial
FST,2.1590345,0.00000e+00,F1: Superficial
RSPO1,3.509917,0.00000e+00,F1: Superficial
SVIL,1.4791844,0.00000e+00,F1: Superficial
RPL12,0.81707567,0.00000e+00,F1: Superficial
ARHGAP29,1.8570001,0.00000e+00,F1: Superficial
ITIH5,1.9623355,0.00000e+00,F1: Superficial
ZFAND5,1.3661475,0.00000e+00,F1: Superficial
RND3,1.2465212,0.00000e+00,F1: Superficial
GPNMB,1.0818149,0.00000e+00,F1: Superficial
INHBA,2.6958618,0.00000e+00,F6: Inflammatory myofibroblast
PRSS23,1.8807056,0.00000e+00,F6: Inflammatory myofibroblast
COL4A1,1.9616207,0.00000e+00,F6: Inflammatory myofibroblast
PRKG1,1.7724618,0.00000e+00,F6: Inflammatory myofibroblast
COL5A3,2.1116602,0.00000e+00,F6: Inflammatory myofibroblast
COL4A2,1.688526,0.00000e+00,F6: Inflammatory myofibroblast
SAT1,1.8636863,0.00000e+00,F6: Inflammatory myofibroblast
HLA-B,1.3460884,0.00000e+00,F6: Inflammatory myofibroblast
SGIP1,2.388894,0.00000e+00,F6: Inflammatory myofibroblast
GPM6B,2.9743686,0.00000e+00,F6: Inflammatory myofibroblast
LUM,1.1958944,0.00000e+00,F6: Inflammatory myofibroblast
WNT5A,2.6485476,0.00000e+00,F6: Inflammatory myofibroblast
CSGALNACT1,2.2000995,0.00000e+00,F6: Inflammatory myofibroblast
MME,2.5109093,0.00000e+00,F6: Inflammatory myofibroblast
BGN,1.1580427,0.00000e+00,F6: Inflammatory myofibroblast
COL7A1,2.4928918,0.00000e+00,F6: Inflammatory myofibroblast
RUNX2,2.0250444,0.00000e+00,F6: Inflammatory myofibroblast
PTPRG,1.4914118,0.00000e+00,F6: Inflammatory myofibroblast
IFITM3,0.97576284,0.00000e+00,F6: Inflammatory myofibroblast
GLIS3,1.6590002,0.00000e+00,F6: Inflammatory myofibroblast
GGT5,1.582822,0.00000e+00,F6: Inflammatory myofibroblast
TIMP1,1.1588503,0.00000e+00,F6: Inflammatory myofibroblast
HES4,1.8838204,0.00000e+00,F6: Inflammatory myofibroblast
KIF26B,1.9877422,0.00000e+00,F6: Inflammatory myofibroblast
MMP1,4.55709,0.00000e+00,F6: Inflammatory myofibroblast
SOX5,3.1383862,0.00000e+00,F6: Inflammatory myofibroblast
CPE,1.5815095,0.00000e+00,F6: Inflammatory myofibroblast
FRMD4A,2.1087987,0.00000e+00,F6: Inflammatory myofibroblast
MAP3K5,2.6026967,0.00000e+00,F6: Inflammatory myofibroblast
PRRX1,0.827302,0.00000e+00,F6: Inflammatory myofibroblast
CHN1,1.9016978,0.00000e+00,F6: Inflammatory myofibroblast
TSPAN9,1.6981586,0.00000e+00,F6: Inflammatory myofibroblast
EPAS1,1.5031518,0.00000e+00,F6: Inflammatory myofibroblast
TENM4,2.393796,0.00000e+00,F6: Inflammatory myofibroblast
SEMA5A,1.7676203,0.00000e+00,F6: Inflammatory myofibroblast
SPHK1,1.5553426,0.00000e+00,F6: Inflammatory myofibroblast
COL27A1,1.5554938,0.00000e+00,F6: Inflammatory myofibroblast
EPSTI1,2.0466168,0.00000e+00,F6: Inflammatory myofibroblast
STARD13,1.6697224,0.00000e+00,F6: Inflammatory myofibroblast
SULF1,1.8295788,0.00000e+00,F6: Inflammatory myofibroblast
GUCY1A1,1.5084609,0.00000e+00,F6: Inflammatory myofibroblast
PMEPA1,1.1549543,0.00000e+00,F6: Inflammatory myofibroblast
DPYD,1.386184,0.00000e+00,F6: Inflammatory myofibroblast
TSPAN5,1.5756277,0.00000e+00,F6: Inflammatory myofibroblast
CHST11,1.6004336,1.45004e-309,F6: Inflammatory myofibroblast
PITPNC1,1.8757064,6.87493e-304,F6: Inflammatory myofibroblast
LAMB1,1.2197872,1.14257e-304,F6: Inflammatory myofibroblast
TDO2,3.7714515,4.02660e-298,F6: Inflammatory myofibroblast
CD82,1.5468645,8.77706e-290,F6: Inflammatory myofibroblast
C4orf48,1.3856821,2.18406e-285,F6: Inflammatory myofibroblast
PRDM1,1.8415577,4.77907e-279,F6: Inflammatory myofibroblast
ASAP1,1.0475726,2.11106e-274,F6: Inflammatory myofibroblast
PLD1,1.9898561,3.11591e-270,F6: Inflammatory myofibroblast
TNFRSF21,2.2570424,8.25367e-270,F6: Inflammatory myofibroblast
CA12,2.255897,6.41572e-269,F6: Inflammatory myofibroblast
AOPEP,1.0366243,3.70105e-268,F6: Inflammatory myofibroblast
SH3RF3,1.6541066,5.29114e-265,F6: Inflammatory myofibroblast
TRPS1,1.1423122,6.00698e-265,F6: Inflammatory myofibroblast
MMP3,5.1715403,2.70774e-262,F6: Inflammatory myofibroblast
FP236383.3,1.5416298,1.33963e-263,F6: Inflammatory myofibroblast
DIO2,1.4376601,4.62947e-263,F6: Inflammatory myofibroblast
UNC5B,1.665223,3.08570e-261,F6: Inflammatory myofibroblast
PLEKHA5,1.2854282,7.60726e-259,F6: Inflammatory myofibroblast
PTPRE,2.1124017,4.57257e-258,F6: Inflammatory myofibroblast
CYTOR,1.0597994,6.21155e-259,F6: Inflammatory myofibroblast
BICC1,0.9868387,3.83750e-259,F6: Inflammatory myofibroblast
BMP1,1.1288034,4.28462e-255,F6: Inflammatory myofibroblast
MSC-AS1,1.5576873,1.89245e-254,F6: Inflammatory myofibroblast
GFPT2,1.5672665,4.72929e-254,F6: Inflammatory myofibroblast
PRR16,1.6988724,8.70665e-253,F6: Inflammatory myofibroblast
CCN4,1.6157064,8.18361e-251,F6: Inflammatory myofibroblast
ANKRD28,1.2427306,1.93014e-249,F6: Inflammatory myofibroblast
ST5,1.3362043,3.82718e-247,F6: Inflammatory myofibroblast
ELOVL5,1.3821392,2.82965e-246,F6: Inflammatory myofibroblast
PDE3A,2.5298047,1.98248e-245,F6: Inflammatory myofibroblast
CBLB,1.299563,3.11929e-244,F6: Inflammatory myofibroblast
COL6A3,0.6547348,4.29033e-245,F6: Inflammatory myofibroblast
ADAMTS2,0.91728896,5.38393e-244,F6: Inflammatory myofibroblast
PHLDA1,1.1702586,1.18702e-238,F6: Inflammatory myofibroblast
HLA-A,0.7762304,8.90556e-239,F6: Inflammatory myofibroblast
ARHGAP24,1.201702,5.40948e-238,F6: Inflammatory myofibroblast
EDNRA,1.5635837,1.44003e-237,F6: Inflammatory myofibroblast
LMCD1,1.5772519,3.04597e-236,F6: Inflammatory myofibroblast
MIR4435-2HG,1.2124777,2.43539e-235,F6: Inflammatory myofibroblast
GRAMD1A,1.6693207,8.94930e-235,F6: Inflammatory myofibroblast
ETV6,1.1696799,1.03896e-230,F6: Inflammatory myofibroblast
LY6E,0.86272395,9.49154e-227,F6: Inflammatory myofibroblast
NOTCH3,1.939418,1.16700e-225,F6: Inflammatory myofibroblast
PSME2,1.0024394,3.00705e-224,F6: Inflammatory myofibroblast
F3,2.4554906,2.81485e-223,F6: Inflammatory myofibroblast
PTMS,0.768319,5.00126e-224,F6: Inflammatory myofibroblast
ITGA1,1.5597681,9.24297e-223,F6: Inflammatory myofibroblast
ISG15,1.3648654,5.87803e-222,F6: Inflammatory myofibroblast
PDGFRB,0.8301962,1.53522e-222,F6: Inflammatory myofibroblast
HLA-F,1.2691072,5.53264e-220,F6: Inflammatory myofibroblast
RBPMS,1.2313572,1.13899e-218,F6: Inflammatory myofibroblast
TMEM165,0.93980503,9.69310e-219,F6: Inflammatory myofibroblast
CACNA1C,1.1128141,1.00202e-217,F6: Inflammatory myofibroblast
COL5A1,0.7417554,5.19657e-218,F6: Inflammatory myofibroblast
PAG1,1.5866561,4.12175e-214,F6: Inflammatory myofibroblast
COL1A1,2.2306933,0.00000e+00,F7: Myofibroblast
COL1A2,2.2047234,0.00000e+00,F7: Myofibroblast
SPARC,1.99527,0.00000e+00,F7: Myofibroblast
COL3A1,1.8008479,0.00000e+00,F7: Myofibroblast
CTHRC1,2.3359032,0.00000e+00,F7: Myofibroblast
COL5A1,1.8954477,0.00000e+00,F7: Myofibroblast
PRDX4,2.5311801,0.00000e+00,F7: Myofibroblast
OGN,3.4726238,0.00000e+00,F7: Myofibroblast
ASPN,2.4268184,0.00000e+00,F7: Myofibroblast
COL14A1,1.7988192,0.00000e+00,F7: Myofibroblast
COL5A2,1.284501,0.00000e+00,F7: Myofibroblast
SFRP2,1.9098601,0.00000e+00,F7: Myofibroblast
GXYLT2,2.1567233,0.00000e+00,F7: Myofibroblast
PRSS23,2.2808368,0.00000e+00,F7: Myofibroblast
ADAM12,2.052579,0.00000e+00,F7: Myofibroblast
HTRA1,1.4398735,0.00000e+00,F7: Myofibroblast
MDK,1.8253778,0.00000e+00,F7: Myofibroblast
COPZ2,1.8701892,0.00000e+00,F7: Myofibroblast
MFAP5,2.7368667,0.00000e+00,F7: Myofibroblast
MIR99AHG,2.0284996,0.00000e+00,F7: Myofibroblast
PPIC,1.4469078,0.00000e+00,F7: Myofibroblast
LUM,1.2852353,0.00000e+00,F7: Myofibroblast
MMP23B,2.0597858,0.00000e+00,F7: Myofibroblast
CCDC80,1.3920984,0.00000e+00,F7: Myofibroblast
FAP,1.5239515,0.00000e+00,F7: Myofibroblast
MARCKS,1.3815775,0.00000e+00,F7: Myofibroblast
COL12A1,1.4962387,0.00000e+00,F7: Myofibroblast
CENPP,2.3820546,0.00000e+00,F7: Myofibroblast
SEPTIN11,1.5109216,0.00000e+00,F7: Myofibroblast
COL11A1,2.8984735,0.00000e+00,F7: Myofibroblast
PLXDC2,1.5630836,0.00000e+00,F7: Myofibroblast
PPP1R14B,1.9098611,0.00000e+00,F7: Myofibroblast
KIF26B,2.49664,0.00000e+00,F7: Myofibroblast
KRT10,1.39174,0.00000e+00,F7: Myofibroblast
LGR4,2.253887,0.00000e+00,F7: Myofibroblast
POSTN,1.4333525,0.00000e+00,F7: Myofibroblast
FN1,1.1769091,0.00000e+00,F7: Myofibroblast
BNC2,1.7537265,0.00000e+00,F7: Myofibroblast
ELN,1.8135302,0.00000e+00,F7: Myofibroblast
BCKDHB,2.5661256,0.00000e+00,F7: Myofibroblast
HMCN1,1.5159303,0.00000e+00,F7: Myofibroblast
GOLM1,1.7217025,0.00000e+00,F7: Myofibroblast
LOX,1.4756968,0.00000e+00,F7: Myofibroblast
SULF2,1.8486274,0.00000e+00,F7: Myofibroblast
BGN,1.198804,0.00000e+00,F7: Myofibroblast
H19,4.498432,0.00000e+00,F7: Myofibroblast
COL8A1,1.8716991,0.00000e+00,F7: Myofibroblast
CD99,1.0099342,0.00000e+00,F7: Myofibroblast
NREP,1.436919,0.00000e+00,F7: Myofibroblast
DPT,1.1386058,0.00000e+00,F7: Myofibroblast
SMYD3,1.676233,0.00000e+00,F7: Myofibroblast
PTN,1.501669,0.00000e+00,F7: Myofibroblast
CERCAM,1.3579024,0.00000e+00,F7: Myofibroblast
IGF1,1.9578431,0.00000e+00,F7: Myofibroblast
RASAL2,1.4645798,0.00000e+00,F7: Myofibroblast
PIEZO2,2.0730755,0.00000e+00,F7: Myofibroblast
NRG1,2.7143037,0.00000e+00,F7: Myofibroblast
PPIB,0.8941524,0.00000e+00,F7: Myofibroblast
IGFBP6,1.6754459,0.00000e+00,F7: Myofibroblast
PALLD,1.1739303,0.00000e+00,F7: Myofibroblast
CPE,1.3872732,0.00000e+00,F7: Myofibroblast
PRKG1,1.2977244,0.00000e+00,F7: Myofibroblast
TTC3,1.0334327,0.00000e+00,F7: Myofibroblast
ITGBL1,1.4145417,0.00000e+00,F7: Myofibroblast
TENM3,1.764915,0.00000e+00,F7: Myofibroblast
SGCD,1.3392756,0.00000e+00,F7: Myofibroblast
TSPAN13,2.553722,0.00000e+00,F7: Myofibroblast
SSR4,1.005466,0.00000e+00,F7: Myofibroblast
MFAP4,1.0664054,0.00000e+00,F7: Myofibroblast
TXNL4A,1.4126381,0.00000e+00,F7: Myofibroblast
CCN2,1.3483568,0.00000e+00,F7: Myofibroblast
ARHGAP28,2.3697536,0.00000e+00,F7: Myofibroblast
PRICKLE1,1.6637743,0.00000e+00,F7: Myofibroblast
PDGFRL,1.234624,0.00000e+00,F7: Myofibroblast
METRN,1.9639505,0.00000e+00,F7: Myofibroblast
EDIL3,1.2154009,0.00000e+00,F7: Myofibroblast
MRPS6,1.4367664,0.00000e+00,F7: Myofibroblast
KIAA1217,1.2963613,0.00000e+00,F7: Myofibroblast
TIMP1,0.9388238,0.00000e+00,F7: Myofibroblast
AUTS2,1.1628613,0.00000e+00,F7: Myofibroblast
SULF1,1.6824774,0.00000e+00,F7: Myofibroblast
MGP,1.0375048,0.00000e+00,F7: Myofibroblast
MXRA5,1.0695505,0.00000e+00,F7: Myofibroblast
PDZRN4,3.2011318,0.00000e+00,F7: Myofibroblast
FOXP1,1.078305,0.00000e+00,F7: Myofibroblast
SEC61G,0.8433767,0.00000e+00,F7: Myofibroblast
PCOLCE,0.76491606,0.00000e+00,F7: Myofibroblast
OSTC,0.8781052,0.00000e+00,F7: Myofibroblast
LINC02544,2.7890394,0.00000e+00,F7: Myofibroblast
FBN1,0.8814653,0.00000e+00,F7: Myofibroblast
VEGFB,1.3216959,0.00000e+00,F7: Myofibroblast
BRI3,0.9658423,0.00000e+00,F7: Myofibroblast
JUND,0.88506216,0.00000e+00,F7: Myofibroblast
RUNX2,1.5281537,0.00000e+00,F7: Myofibroblast
ADAMTS6,2.6207325,0.00000e+00,F7: Myofibroblast
STARD4-AS1,2.4558377,0.00000e+00,F7: Myofibroblast
PHPT1,0.89385283,0.00000e+00,F7: Myofibroblast
PDE1A,2.1708562,0.00000e+00,F7: Myofibroblast
C1QTNF6,1.3843178,0.00000e+00,F7: Myofibroblast
PTGER3,1.5859609,0.00000e+00,F7: Myofibroblast
POSTN,3.7974658,0.00000e+00,F8: Fascia-like myofibroblast
SPON2,3.5428421,0.00000e+00,F8: Fascia-like myofibroblast
CADM1,3.7399058,0.00000e+00,F8: Fascia-like myofibroblast
TGFBI,3.38161,0.00000e+00,F8: Fascia-like myofibroblast
FN1,2.3818934,0.00000e+00,F8: Fascia-like myofibroblast
CAMK1D,3.1290152,0.00000e+00,F8: Fascia-like myofibroblast
TAGLN,3.7701232,0.00000e+00,F8: Fascia-like myofibroblast
FABP5,4.6802645,0.00000e+00,F8: Fascia-like myofibroblast
RPS17,2.038429,0.00000e+00,F8: Fascia-like myofibroblast
SFRP4,3.5803206,0.00000e+00,F8: Fascia-like myofibroblast
DKK3,2.7743852,0.00000e+00,F8: Fascia-like myofibroblast
RPL13A,1.7877821,0.00000e+00,F8: Fascia-like myofibroblast
TPM1,2.304859,0.00000e+00,F8: Fascia-like myofibroblast
PDLIM3,3.9170084,0.00000e+00,F8: Fascia-like myofibroblast
C1QTNF3,3.1645162,0.00000e+00,F8: Fascia-like myofibroblast
EDIL3,2.6762483,0.00000e+00,F8: Fascia-like myofibroblast
COL1A1,1.7105033,0.00000e+00,F8: Fascia-like myofibroblast
COL5A2,1.5957056,0.00000e+00,F8: Fascia-like myofibroblast
PDLIM7,2.9120247,0.00000e+00,F8: Fascia-like myofibroblast
DLG1,2.8377407,0.00000e+00,F8: Fascia-like myofibroblast
MALAT1,1.5753797,0.00000e+00,F8: Fascia-like myofibroblast
SPARCL1,2.3112514,0.00000e+00,F8: Fascia-like myofibroblast
LHFPL6,1.7989981,0.00000e+00,F8: Fascia-like myofibroblast
RHOC,1.9936419,0.00000e+00,F8: Fascia-like myofibroblast
CNN3,1.7326602,0.00000e+00,F8: Fascia-like myofibroblast
RPL27A,1.4517398,0.00000e+00,F8: Fascia-like myofibroblast
TUBA1A,2.0158017,0.00000e+00,F8: Fascia-like myofibroblast
CRABP2,1.9652675,0.00000e+00,F8: Fascia-like myofibroblast
COL3A1,1.4187343,0.00000e+00,F8: Fascia-like myofibroblast
LRRC17,3.0686107,0.00000e+00,F8: Fascia-like myofibroblast
ITGB1,1.564998,0.00000e+00,F8: Fascia-like myofibroblast
ASPN,3.0039992,0.00000e+00,F8: Fascia-like myofibroblast
P4HA3,2.9807594,0.00000e+00,F8: Fascia-like myofibroblast
NIBAN1,3.2852974,0.00000e+00,F8: Fascia-like myofibroblast
TUBB2B,3.2710128,0.00000e+00,F8: Fascia-like myofibroblast
FOXP1,2.0690372,0.00000e+00,F8: Fascia-like myofibroblast
ADAM12,2.1642318,0.00000e+00,F8: Fascia-like myofibroblast
TPPP3,2.8390326,0.00000e+00,F8: Fascia-like myofibroblast
RPS20,1.5679573,0.00000e+00,F8: Fascia-like myofibroblast
CAPZB,1.5715346,0.00000e+00,F8: Fascia-like myofibroblast
PDPN,2.0664663,0.00000e+00,F8: Fascia-like myofibroblast
PKM,1.6161861,0.00000e+00,F8: Fascia-like myofibroblast
TPM4,1.4161328,0.00000e+00,F8: Fascia-like myofibroblast
CASC15,2.8890164,0.00000e+00,F8: Fascia-like myofibroblast
HIP1,2.674073,0.00000e+00,F8: Fascia-like myofibroblast
MYL6,1.189563,0.00000e+00,F8: Fascia-like myofibroblast
THBS4,3.141329,0.00000e+00,F8: Fascia-like myofibroblast
ACTG1,1.2392994,0.00000e+00,F8: Fascia-like myofibroblast
